time,sensor,value
1450539519,freezer,-12.75,
1450539529,fridge,9.625,
1450539530,freezer,-12.8125,
1450539541,fridge,9.5625,
1450539541,freezer,-11.5625,
1450539552,fridge,9.625,
1450539553,freezer,-11.0625,
1450539563,fridge,9.6875,
1450539564,freezer,-9.9375,
1450539575,fridge,9.75,
1450539575,freezer,-9.8125,
1450539586,fridge,9.8125,
1450539587,freezer,-9.9375,
1450539597,fridge,9.8125,
1450539598,freezer,-10.1875,
1450539609,fridge,9.75,
1450539609,freezer,-10.375,
1450539620,fridge,9.75,
1450539621,freezer,-10.5625,
1450539631,fridge,9.75,
1450539632,freezer,-10.75,
1450539643,fridge,9.75,
1450539643,freezer,-10.875,
1450539654,fridge,9.75,
1450539655,freezer,-11.0625,
1450539665,fridge,9.75,
1450539666,freezer,-11.1875,
1450539677,fridge,9.6875,
1450539677,freezer,-11.375,
1450539688,fridge,9.6875,
1450539689,freezer,-11.5,
1450539699,fridge,9.6875,
1450539700,freezer,-11.625,
1450539711,fridge,9.6875,
1450539711,freezer,-11.75,
1450539722,fridge,9.625,
1450539723,freezer,-11.875,
1450539733,fridge,9.625,
1450539734,freezer,-12,
1450539745,fridge,9.625,
1450539745,freezer,-12.125,
1450539756,fridge,9.625,
1450539757,freezer,-12.25,
1450539767,fridge,9.625,
1450539768,freezer,-12.375,
1450539779,fridge,9.625,
1450539779,freezer,-12.4375,
1450539790,fridge,9.5625,
1450539791,freezer,-12.5625,
1450539801,fridge,9.5625,
1450539802,freezer,-12.625,
1450539813,fridge,9.5625,
1450539813,freezer,-12.75,
1450539824,fridge,9.5,
1450539825,freezer,-12.8125,
1450539835,fridge,9.5,
1450539836,freezer,-12.9375,
1450539847,fridge,9.5,
1450539847,freezer,-13,
1450539858,fridge,9.5,
1450539859,freezer,-10.5625,
1450539869,fridge,9.4375,
1450539870,freezer,-9.875,
1450539881,fridge,9.4375,
1450539881,freezer,-10.0625,
1450539892,fridge,9.4375,
1450539893,freezer,-10.25,
1450539903,fridge,9.4375,
1450539904,freezer,-10.4375,
1450539915,fridge,9.4375,
1450539915,freezer,-10.5625,
1450539926,fridge,9.375,
1450539927,freezer,-10.6875,
1450539937,fridge,9.375,
1450539938,freezer,-10.8125,
1450539949,fridge,9.375,
1450539949,freezer,-11,
1450539960,fridge,9.3125,
1450539961,freezer,-11.125,
1450539971,fridge,9.375,
1450539972,freezer,-11.25,
1450539983,fridge,9.3125,
1450539983,freezer,-11.375,
1450539994,fridge,9.3125,
1450539995,freezer,-11.5625,
1450540005,fridge,9.3125,
1450540006,freezer,-11.6875,
1450540017,fridge,9.3125,
1450540017,freezer,-11.8125,
1450540028,fridge,9.25,
1450540029,freezer,-11.9375,
1450540039,fridge,9.25,
1450540040,freezer,-12.0625,
1450540051,fridge,9.25,
1450540052,freezer,-12.1875,
1450540062,fridge,9.25,
1450540063,freezer,-12.3125,
1450540074,fridge,9.25,
1450540074,freezer,-12.4375,
1450540085,fridge,9.1875,
1450540086,freezer,-12.5625,
1450540096,fridge,9.1875,
1450540097,freezer,-12.6875,
1450540108,fridge,9.1875,
1450540108,freezer,-12.8125,
1450540119,fridge,9.125,
1450540120,freezer,-12.9375,
1450540130,fridge,9.125,
1450540131,freezer,-13,
1450540142,fridge,9.125,
1450540142,freezer,-13.125,
1450540153,fridge,9.125,
1450540154,freezer,-13.1875,
1450540164,fridge,9.0625,
1450540165,freezer,-13.25,
1450540176,fridge,9.0625,
1450540176,freezer,-13.375,
1450540187,fridge,9.0625,
1450540188,freezer,-13.5,
1450540198,fridge,9,
1450540199,freezer,-13.5625,
1450540210,fridge,9,
1450540210,freezer,-13.6875,
1450540221,fridge,9,
1450540222,freezer,-13.75,
1450540232,fridge,9,
1450540233,freezer,-13.875,
1450540244,fridge,8.9375,
1450540244,freezer,-13.9375,
1450540255,fridge,8.9375,
1450540256,freezer,-14,
1450540266,fridge,8.9375,
1450540267,freezer,-14.0625,
1450540278,fridge,8.875,
1450540278,freezer,-14.1875,
1450540289,fridge,8.875,
1450540290,freezer,-14.3125,
1450540300,fridge,8.875,
1450540301,freezer,-14.375,
1450540312,fridge,8.875,
1450540312,freezer,-13.5,
1450540323,fridge,8.875,
1450540324,freezer,-11.0625,
1450540334,fridge,8.8125,
1450540335,freezer,-10.75,
1450540346,fridge,8.8125,
1450540346,freezer,-10.6875,
1450540357,fridge,8.75,
1450540358,freezer,-10.5625,
1450540368,fridge,8.8125,
1450540369,freezer,-10.5,
1450540380,fridge,8.75,
1450540380,freezer,-10.4375,
1450540391,fridge,8.75,
1450540392,freezer,-10.3125,
1450540402,fridge,8.75,
1450540403,freezer,-10.25,
1450540414,fridge,8.6875,
1450540414,freezer,-10.1875,
1450540425,fridge,8.6875,
1450540426,freezer,-10.125,
1450540436,fridge,8.6875,
1450540437,freezer,-10.0625,
1450540448,fridge,8.6875,
1450540448,freezer,-10.0625,
1450540459,fridge,8.625,
1450540460,freezer,-10,
1450540470,fridge,8.625,
1450540471,freezer,-10,
1450540482,fridge,8.625,
1450540482,freezer,-10,
1450540493,fridge,8.625,
1450540494,freezer,-10,
1450540504,fridge,8.625,
1450540505,freezer,-9.9375,
1450540516,fridge,8.625,
1450540516,freezer,-10,
1450540527,fridge,8.5625,
1450540528,freezer,-10,
1450540538,fridge,8.5625,
1450540539,freezer,-10,
1450540550,fridge,8.5625,
1450540550,freezer,-10,
1450540561,fridge,8.5,
1450540562,freezer,-10,
1450540572,fridge,8.5,
1450540573,freezer,-10,
1450540584,fridge,8.5,
1450540584,freezer,-10.0625,
1450540595,fridge,8.5,
1450540596,freezer,-10.0625,
1450540606,fridge,8.5,
1450540607,freezer,-10.125,
1450540618,fridge,8.4375,
1450540618,freezer,-10.125,
1450540629,fridge,8.4375,
1450540630,freezer,-10.1875,
1450540640,fridge,8.4375,
1450540641,freezer,-10.1875,
1450540652,fridge,8.4375,
1450540652,freezer,-10.1875,
1450540663,fridge,8.4375,
1450540664,freezer,-10.1875,
1450540674,fridge,8.375,
1450540675,freezer,-10.25,
1450540686,fridge,8.375,
1450540686,freezer,-10.25,
1450540697,fridge,8.375,
1450540698,freezer,-10.25,
1450540708,fridge,8.375,
1450540709,freezer,-10.3125,
1450540720,fridge,8.3125,
1450540720,freezer,-10.3125,
1450540731,fridge,8.3125,
1450540732,freezer,-10.3125,
1450540742,fridge,8.3125,
1450540743,freezer,-10.375,
1450540754,fridge,8.3125,
1450540754,freezer,-10.375,
1450540765,fridge,8.3125,
1450540766,freezer,-10.375,
1450540776,fridge,8.25,
1450540777,freezer,-10.375,
1450540788,fridge,8.25,
